|  X0   |  X1   |  X2   |  X3   |  Y1   |  Y0   |
|   0   |   0   |   0   |   0   |   1   |   1   |
|   0   |   0   |   0   |   1   |   1   |   1   |
|   0   |   0   |   1   |   0   |   1   |   0   |
|   0   |   0   |   1   |   1   |   1   |   0   |
|   0   |   1   |   0   |   0   |   0   |   1   |
|   0   |   1   |   0   |   1   |   0   |   1   |
|   0   |   1   |   1   |   0   |   0   |   0   |
|   0   |   1   |   1   |   1   |   0   |   0   |
|   1   |   0   |   0   |   0   |   0   |   0   |
|   1   |   0   |   0   |   1   |   0   |   0   |
|   1   |   0   |   1   |   0   |   0   |   0   |
|   1   |   0   |   1   |   1   |   0   |   0   |
|   1   |   1   |   0   |   0   |   0   |   0   |
|   1   |   1   |   0   |   1   |   0   |   0   |
|   1   |   1   |   1   |   0   |   0   |   0   |
|   1   |   1   |   1   |   1   |   0   |   0   |
