| R0  | R1  | R2  | R3  | x10 | x00 | x11 | x01 | x12 | x02 | x13 | x03 | y1  | y0  |
|  1  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  1  |  0  |  1  |  1  |  0  |  0  |
|  0  |  1  |  0  |  0  |  0  |  0  |  0  |  1  |  1  |  0  |  1  |  1  |  0  |  1  |
|  0  |  0  |  1  |  0  |  0  |  0  |  0  |  1  |  1  |  0  |  1  |  1  |  1  |  0  |
|  0  |  0  |  0  |  1  |  0  |  0  |  0  |  1  |  1  |  0  |  1  |  1  |  1  |  1  |
|  1  |  0  |  0  |  0  |  0  |  1  |  1  |  0  |  1  |  1  |  0  |  0  |  0  |  1  |
|  0  |  1  |  0  |  0  |  0  |  1  |  1  |  0  |  1  |  1  |  0  |  0  |  1  |  0  |
|  0  |  0  |  1  |  0  |  0  |  1  |  1  |  0  |  1  |  1  |  0  |  0  |  1  |  1  |
|  0  |  0  |  0  |  1  |  0  |  1  |  1  |  0  |  1  |  1  |  0  |  0  |  0  |  0  |
|  1  |  0  |  0  |  0  |  1  |  0  |  1  |  1  |  0  |  0  |  0  |  1  |  1  |  0  |
|  0  |  1  |  0  |  0  |  1  |  0  |  1  |  1  |  0  |  0  |  0  |  1  |  1  |  1  |
|  0  |  0  |  1  |  0  |  1  |  0  |  1  |  1  |  0  |  0  |  0  |  1  |  0  |  0  |
|  0  |  0  |  0  |  1  |  1  |  0  |  1  |  1  |  0  |  0  |  0  |  1  |  0  |  1  |
|  1  |  0  |  0  |  0  |  1  |  1  |  0  |  0  |  0  |  1  |  1  |  0  |  1  |  1  |
|  0  |  1  |  0  |  0  |  1  |  1  |  0  |  0  |  0  |  1  |  1  |  0  |  0  |  0  |
|  0  |  0  |  1  |  0  |  1  |  1  |  0  |  0  |  0  |  1  |  1  |  0  |  0  |  1  |
|  0  |  0  |  0  |  1  |  1  |  1  |  0  |  0  |  0  |  1  |  1  |  0  |  1  |  0  |
|  1  |  0  |  0  |  1  |  0  |  0  |  0  |  1  |  1  |  0  |  1  |  1  |  0  |  0  |
|  1  |  0  |  1  |  0  |  0  |  0  |  0  |  1  |  1  |  0  |  1  |  1  |  0  |  0  |
|  1  |  0  |  1  |  1  |  0  |  0  |  0  |  1  |  1  |  0  |  1  |  1  |  0  |  0  |
|  1  |  1  |  0  |  0  |  0  |  0  |  0  |  1  |  1  |  0  |  1  |  1  |  0  |  0  |
|  1  |  1  |  0  |  1  |  0  |  0  |  0  |  1  |  1  |  0  |  1  |  1  |  0  |  0  |
|  1  |  1  |  1  |  0  |  0  |  0  |  0  |  1  |  1  |  0  |  1  |  1  |  0  |  0  |
|  1  |  1  |  1  |  1  |  0  |  0  |  0  |  1  |  1  |  0  |  1  |  1  |  0  |  0  |
|  0  |  1  |  0  |  1  |  0  |  0  |  0  |  1  |  1  |  0  |  1  |  1  |  0  |  1  |
|  0  |  1  |  1  |  0  |  0  |  0  |  0  |  1  |  1  |  0  |  1  |  1  |  0  |  1  |
|  0  |  1  |  1  |  1  |  0  |  0  |  0  |  1  |  1  |  0  |  1  |  1  |  0  |  1  |
|  0  |  0  |  1  |  1  |  0  |  0  |  0  |  1  |  1  |  0  |  1  |  1  |  1  |  0  |
